epoch     loss      conf_loss cls_loss  loc_loss  recall    precise   mAP       
0         31.901    8.451     8.574     14.876    0.000     0.000     0.000     
1         26.418    5.949     5.796     14.673    0.000     0.000     0.000     
2         22.674    4.995     3.201     14.478    0.000     0.000     0.000     
3         22.064    5.255     2.550     14.259    0.000     0.000     0.000     
4         22.171    6.012     2.062     14.096    0.000     0.000     0.000     
5         21.005    5.385     1.545     14.075    0.000     0.000     0.000     
6         19.937    4.824     1.139     13.974    0.000     0.000     0.000     
7         19.743    4.535     1.230     13.978    0.000     0.000     0.000     
8         19.190    4.199     1.072     13.919    0.000     0.000     0.000     
9         19.511    4.661     1.189     13.661    0.000     0.000     0.000     
